,Area Code,COGS,Profit GAP,Date,Inventory,Profit Margin,Market Size,Segment,Marketing,Entries,Product Line,Product Type,Product,Profit,Revenue,State,Target COGS,Target Profit Margin,Target Profit,Target Revenue,Total Expenses,Type
0,303,51,-0.35,2012-10-01,503,0.71,Major Market,Central,46,1,Leaves,Herbal Tea,Lemon,-5,122,Colorado,30,0.6,30,90,76,Decaf
1,970,52,-0.24,2012-10-01,405,0.71,Major Market,Central,17,1,Leaves,Herbal Tea,Mint,26,123,Colorado,30,0.6,50,90,45,Decaf
2,409,43,-0.22,2012-10-01,419,0.64,Major Market,South,13,1,Leaves,Herbal Tea,Lemon,28,107,Texas,30,0.6,50,90,36,Decaf
3,850,38,-0.15,2012-10-01,871,0.56,Major Market,East,10,1,Leaves,Tea,Darjeeling,35,94,Florida,40,0.6,50,100,21,Regular
4,562,72,0.06,2012-10-01,650,1.1,Major Market,West,23,1,Leaves,Tea,Green Tea,56,182,California,20,0.6,50,80,54,Regular
5,712,0,-0.29,2012-10-01,430,0.43,Small Market,Central,0,1,Beans,Espresso,Decaf Espresso,31,43,Iowa,0,0.6,60,60,12,Decaf
6,860,47,-0.29,2012-10-01,375,0.64,Small Market,East,15,1,Beans,Espresso,Decaf Espresso,21,111,Connecticut,30,0.6,50,90,43,Decaf
7,918,27,-0.39,2012-10-01,859,0.39,Small Market,South,7,1,Beans,Coffee,Decaf Irish Cream,21,66,Oklahoma,30,0.6,60,90,18,Decaf
8,775,31,-0.43,2012-10-01,1000,0.37,Small Market,West,9,1,Beans,Coffee,Decaf Irish Cream,7,68,Nevada,30,0.6,50,90,30,Decaf
9,435,40,-0.23,2012-10-01,881,0.59,Small Market,West,11,1,Beans,Espresso,Decaf Espresso,37,99,Utah,20,0.6,60,80,22,Decaf
10,603,49,-0.27,2012-10-01,310,0.71,Small Market,East,15,1,Beans,Coffee,Amaretto,33,120,New Hampshire,30,0.6,60,90,38,Regular
11,603,45,-0.26,2012-10-01,447,0.69,Small Market,East,14,1,Beans,Coffee,Colombian,24,114,New Hampshire,30,0.6,50,90,45,Regular
12,603,45,-0.37,2012-10-01,320,0.64,Small Market,East,41,1,Beans,Espresso,Caffe Mocha,-7,109,New Hampshire,30,0.6,30,90,71,Regular
13,318,60,-0.09,2012-10-01,-762,0.84,Small Market,South,54,1,Beans,Espresso,Caffe Latte,1,144,Louisiana,30,0.6,10,90,83,Regular
14,775,34,-0.32,2012-10-01,240,0.43,Small Market,West,12,1,Beans,Coffee,Colombian,-2,77,Nevada,40,0.6,30,100,45,Regular
15,503,54,-0.28,2012-10-01,404,0.66,Small Market,West,20,1,Beans,Espresso,Caffe Latte,12,120,Oregon,40,0.6,40,100,54,Regular
16,573,45,-0.36,2012-10-01,320,0.64,Small Market,Central,41,1,Leaves,Herbal Tea,Chamomile,-6,109,Missouri,20,0.6,30,80,70,Decaf
17,262,48,-0.15,2012-10-01,851,0.7,Small Market,Central,13,1,Leaves,Herbal Tea,Lemon,45,118,Wisconsin,30,0.6,60,90,25,Decaf
18,801,49,-0.27,2012-10-01,310,0.71,Small Market,West,15,1,Leaves,Herbal Tea,Chamomile,33,120,Utah,30,0.6,60,90,38,Decaf
19,425,48,-0.13,2012-10-01,829,0.71,Small Market,West,13,1,Leaves,Herbal Tea,Lemon,47,119,Washington,30,0.6,60,90,24,Decaf
20,860,40,-0.14,2012-10-01,881,0.59,Small Market,East,11,1,Leaves,Tea,Darjeeling,36,99,Connecticut,40,0.6,50,100,23,Regular
21,971,82,0.14,2012-10-01,788,1.23,Small Market,West,27,1,Leaves,Tea,Earl Grey,64,205,Oregon,30,0.6,50,90,59,Regular
22,971,91,0.26,2012-10-01,656,1.27,Small Market,West,28,1,Leaves,Tea,Green Tea,76,218,Oregon,40,0.6,50,100,51,Regular
